"x","y","data_class"
0.543118484783918,97.9977073334157,"SzCdEL"
23.6159430234693,56.1637490498833,"wep"
11.4289567572996,21.0547906532884,"Ijgev"
63.3973696571775,81.5010361303575,"SzCdEL"
-7.25123844807968,63.3286650804803,"pOoks"
19.6993254497647,81.0516368388198,"XQQhW"
44.4553309679031,78.4890361200087,"Ijgev"
69.5882538566366,71.4307874278165,"wep"
76.7606911272742,-0.139838298782706,"wep"
5.32143654534593,-3.34003491327167,"Ijgev"
59.1992670600303,41.704092642758,"SzCdEL"
36.9510905770585,58.0609885347076,"Ijgev"
87.2231999738142,-2.90868467185646,"CkEGM"
36.2404495407827,57.874640354421,"wep"
16.0334844049066,80.5512794223614,"XQQhW"
67.035436143633,47.1777522237971,"CkEGM"
71.5047501469962,72.1703040297143,"pOoks"
73.4319798299111,40.427255704999,"Ijgev"
44.1859079780988,-7.21396337728947,"XQQhW"
88.2704169629142,29.0449533797801,"Ijgev"
48.526829413604,69.1867428342812,"SzCdEL"
93.5722125670873,25.8682151418179,"Ijgev"
84.560616381932,68.2335010077804,"XQQhW"
30.8776984643191,9.70019683474675,"SzCdEL"
74.4741055858321,51.0359488520771,"CkEGM"
71.3578706770204,58.5408264538273,"pOoks"
5.02726393053308,51.5804100478999,"pOoks"
47.2029090952128,2.64917836058885,"SzCdEL"
7.52190569648519,74.5064761047252,"SzCdEL"
54.4363488606177,65.3239572630264,"Ijgev"
65.8927857060917,38.5786058055237,"SzCdEL"
81.6930619929917,7.12642184924334,"wep"
-6.69618490152061,58.5876569990069,"Ijgev"
60.7856097817421,5.04594186786562,"Ijgev"
46.9897506502457,76.3699488155544,"wep"
38.5070221009664,74.6081797545776,"XQQhW"
32.5921416818164,55.3027067496441,"wep"
71.5020496840589,36.473507124465,"pOoks"
45.8819876122288,88.9248558692634,"CkEGM"
61.2563632964157,56.280787200667,"pOoks"
97.6640188577585,4.41029264125973,"wep"
53.7857862352394,50.3390801255591,"SzCdEL"
7.6359898573719,-3.37267985800281,"XQQhW"
17.684644178953,54.3798873899505,"XQQhW"
20.9833230450749,58.200500253588,"SzCdEL"
33.1006445898674,77.518348749727,"wep"
56.1593451490626,7.43211169261485,"XQQhW"
62.843933776021,95.8840423147194,"wep"
32.7810887503438,70.2720379899256,"Ijgev"
23.6362407519482,13.9819100569002,"wep"
-0.974727189168334,66.3325021835044,"pOoks"
-7.47069257777184,-6.38844169210643,"XQQhW"
99.2589540919289,70.7120383181609,"pOoks"
56.9594015763141,27.3578885640018,"pOoks"
58.7389902863652,61.6101848706603,"CkEGM"
70.6496098591015,-0.718789456877857,"pOoks"
2.73453288944438,98.9140441990457,"SzCdEL"
39.8280981997959,18.4889426687732,"XQQhW"
14.3399295140989,35.6636218470521,"SzCdEL"
30.1534004462883,60.4043628601357,"wep"
59.6270002843812,50.8562607550994,"Ijgev"
98.5969510208815,72.9518409771845,"Ijgev"
50.6230693007819,11.3940492784604,"Ijgev"
73.6041521676816,35.0800181273371,"XQQhW"
87.6672043069266,19.9368597986177,"XQQhW"
43.1856033112854,84.4270683987997,"Ijgev"
90.202339340467,-2.86336266202852,"pOoks"
59.1103620524518,94.4862621068023,"Ijgev"
87.1297486149706,90.7950520771556,"pOoks"
48.0946554080583,2.63686438789591,"Ijgev"
99.406283092685,78.8749634171836,"SzCdEL"
98.9063301309943,93.5871798521839,"wep"
19.372145361267,8.0990328383632,"wep"
39.9905359116383,-3.35155173204839,"pOoks"
34.6829105191864,50.7324105687439,"Ijgev"
51.1198541871272,77.6981572969817,"wep"
61.0695857927203,22.7758844778873,"Ijgev"
76.7378729581833,5.47438591020182,"wep"
58.8423638488166,3.74390165088698,"XQQhW"
1.01673337863758,82.3506728932261,"Ijgev"
15.7118667475879,-8.40935907559469,"Ijgev"
50.8892800100148,43.3342156209983,"Ijgev"
16.8878876231611,-4.2969024903141,"Ijgev"
27.571621958632,77.6890569366515,"wep"
42.2373072966002,70.7366549945436,"wep"
-3.78663703333586,34.1913205664605,"wep"
49.9592228513211,-6.7391974828206,"wep"
38.9049856667407,62.3114286852069,"XQQhW"
83.8224418926984,53.6793655855581,"pOoks"
45.7124438462779,64.7376881935634,"pOoks"
68.0444766697474,88.1372597068548,"SzCdEL"
70.7593000819907,99.3771922378801,"SzCdEL"
-3.91066357959062,40.9574018092826,"pOoks"
64.7682041930966,22.3340834397823,"XQQhW"
72.8587488946505,18.887656852603,"SzCdEL"
25.5114176543429,79.7426486411132,"SzCdEL"
-9.10282656084746,45.5514248250984,"pOoks"
89.4034688989632,0.0849456852301955,"wep"
91.5671194763854,36.2802880536765,"Ijgev"
87.7832622337155,28.0985385458916,"wep"
81.4551780745387,12.4345388263464,"SzCdEL"
76.2436689552851,4.1692608804442,"wep"
72.1002006111667,47.9446859518066,"pOoks"
82.8889203350991,75.5057633598335,"XQQhW"
52.3528745002113,6.05554919922724,"CkEGM"
46.0133352712728,86.902659223415,"CkEGM"
-1.12011425895616,79.0699103078805,"SzCdEL"
16.9878956978209,43.3688644249924,"pOoks"
52.4772469792515,87.3771850625053,"XQQhW"
15.3320419741794,6.5929786907509,"wep"
8.51548453560099,71.9237901293673,"pOoks"
29.095830982551,-1.85468568932265,"SzCdEL"
-4.69531835289672,55.7501962780952,"CkEGM"
8.1389673682861,44.106615583878,"SzCdEL"
47.0165261859074,87.8047155216336,"XQQhW"
98.2058450276963,82.782276943326,"SzCdEL"
81.8030787608586,16.2311601615511,"SzCdEL"
-9.30727982893586,47.8175328206271,"Ijgev"
81.4821185730398,2.92411250760779,"XQQhW"
7.97884123632684,21.7829652084038,"wep"
70.1544592087157,-9.30622061947361,"SzCdEL"
39.5865286770277,77.273565409705,"SzCdEL"
44.1999237751588,67.5211493112147,"Ijgev"
83.9088557334617,55.3869014931843,"SzCdEL"
73.3846409758553,15.3962774691172,"Ijgev"
-5.08274214807898,61.5817456203513,"CkEGM"
46.3716712337919,31.3612035475671,"SzCdEL"
15.9683309216052,34.7221996425651,"XQQhW"
72.8871816652827,89.3508831202053,"pOoks"
29.369934424758,79.782678829506,"XQQhW"
84.163153518457,85.1774601521902,"XQQhW"
30.5056265345775,21.9578434899449,"CkEGM"
69.3910779315047,41.4382505835965,"XQQhW"
-4.85732338624075,91.6517962003127,"XQQhW"
4.39807970542461,55.7937173731625,"CkEGM"
52.8624946530908,3.71990546118468,"XQQhW"
64.425396353472,3.22372182738036,"Ijgev"
82.7563370298594,-8.70299257105216,"wep"
76.1481831315905,8.92514307284728,"XQQhW"
9.31660232366994,-2.88937912788242,"Ijgev"
8.29111476428807,-9.20688817277551,"SzCdEL"
86.2829906214029,20.2873367071152,"Ijgev"
27.3782035033219,91.7356724920683,"Ijgev"
54.9624575627968,43.3525917283259,"Ijgev"
